datetime,participant_id,stratified_sampling_resolution,min_iterations,cleanser_frequency,model_certainty_cutoff,initial_stratified_samples,total_iterations,true_positives,true_negatives,false_positives,false_negatives
07/15/2025 17:33:50,p01,2,0,0,0.95,4,14,56,18,3,13
07/15/2025 17:33:51,p02,2,0,0,0.95,4,92,0,12,0,0
07/15/2025 17:33:51,p03,2,0,0,0.95,4,10,68,15,1,10
07/15/2025 17:33:51,p04,2,0,0,0.95,4,13,41,27,17,6
07/15/2025 17:33:51,p05,2,0,0,0.95,4,10,48,15,1,30
07/15/2025 17:33:52,p06,2,0,0,0.95,4,92,3,8,0,1
07/15/2025 17:33:52,p07,2,0,0,0.95,6,75,19,7,0,3
07/15/2025 17:33:52,p08,2,0,0,0.95,4,14,58,17,9,6
07/15/2025 17:33:52,p09,2,0,0,0.95,4,14,48,25,4,13
07/15/2025 17:33:52,p10,2,0,0,0.95,4,70,25,7,0,2
07/15/2025 17:33:53,p11,2,0,0,0.95,4,14,54,19,2,15
07/15/2025 17:33:53,p12,2,0,0,0.95,4,9,55,21,12,7
07/15/2025 17:33:53,p13,2,0,0,0.95,4,16,54,17,12,5
07/15/2025 17:33:53,p14,2,0,0,0.95,4,12,58,20,6,8
07/15/2025 17:33:53,p15,2,0,0,0.95,4,9,65,14,1,15
07/15/2025 17:33:53,p16,2,0,0,0.95,4,11,21,33,33,6
07/15/2025 17:33:53,p17,2,0,0,0.95,4,9,55,22,11,7
07/15/2025 17:33:53,p18,2,0,0,0.95,4,9,49,24,5,17
07/15/2025 17:33:53,p19,2,0,0,0.95,4,11,47,26,9,11
07/15/2025 17:33:53,p20,2,0,0,0.95,5,9,66,13,0,16
07/15/2025 17:33:53,p21,2,0,0,0.95,4,14,46,26,16,2
07/15/2025 17:33:53,p22,2,0,0,0.95,4,16,20,40,25,3
07/15/2025 17:33:53,p23,2,0,0,0.95,4,16,46,24,15,3
07/15/2025 17:33:54,p24,2,0,0,0.95,4,90,5,9,0,0
07/15/2025 17:33:54,p25,2,0,0,0.95,4,12,46,27,9,10
07/15/2025 17:33:54,p26,2,0,0,0.95,4,12,49,25,1,17
07/15/2025 17:33:54,p27,2,0,0,0.95,4,11,56,18,4,15
07/15/2025 17:33:55,p28,2,0,0,0.95,4,91,8,5,0,0
07/15/2025 17:33:55,p29,2,0,0,0.95,4,12,53,19,6,14
07/15/2025 17:33:55,p30,2,0,0,0.95,4,9,64,13,0,18
07/15/2025 17:33:55,p31,2,0,0,0.95,6,9,62,13,0,20
07/15/2025 17:33:55,p01,3,0,0,0.95,7,20,50,19,5,10
07/15/2025 17:33:55,p02,3,0,0,0.95,7,92,0,12,0,0
07/15/2025 17:33:55,p03,3,0,0,0.95,7,16,56,17,12,3
07/15/2025 17:33:55,p04,3,0,0,0.95,7,11,59,13,0,21
07/15/2025 17:33:56,p05,3,0,0,0.95,7,102,0,2,0,0
07/15/2025 17:33:56,p06,3,0,0,0.95,7,15,43,25,13,8
07/15/2025 17:33:56,p07,3,0,0,0.95,7,11,59,18,6,10
07/15/2025 17:33:56,p08,3,0,0,0.95,7,12,66,13,1,12
07/15/2025 17:33:56,p09,3,0,0,0.95,7,57,22,20,4,1
07/15/2025 17:33:57,p10,3,0,0,0.95,7,13,59,19,6,7
07/15/2025 17:33:57,p11,3,0,0,0.95,7,18,57,13,0,16
07/15/2025 17:33:57,p12,3,0,0,0.95,7,13,53,21,11,6
07/15/2025 17:33:57,p13,3,0,0,0.95,7,82,20,1,0,1
07/15/2025 17:33:57,p14,3,0,0,0.95,7,12,54,20,11,7
07/15/2025 17:33:58,p15,3,0,0,0.95,7,71,22,9,0,2
07/15/2025 17:33:58,p16,3,0,0,0.95,7,104,0,0,0,0
07/15/2025 17:33:58,p17,3,0,0,0.95,7,12,60,19,5,8
07/15/2025 17:33:58,p18,3,0,0,0.95,7,14,49,20,4,17
07/15/2025 17:33:58,p19,3,0,0,0.95,7,14,42,28,14,6
07/15/2025 17:33:59,p20,3,0,0,0.95,7,62,29,9,0,4
07/15/2025 17:33:59,p21,3,0,0,0.95,7,12,57,16,4,15
07/15/2025 17:33:59,p22,3,0,0,0.95,7,12,47,30,3,12
07/15/2025 17:33:59,p23,3,0,0,0.95,7,67,26,9,0,2
07/15/2025 17:33:59,p24,3,0,0,0.95,7,91,4,9,0,0
07/15/2025 17:34:00,p25,3,0,0,0.95,7,15,52,18,2,17
07/15/2025 17:34:00,p26,3,0,0,0.95,7,15,25,35,25,4
07/15/2025 17:34:00,p27,3,0,0,0.95,7,14,55,18,4,13
07/15/2025 17:34:00,p28,3,0,0,0.95,7,12,58,18,4,12
07/15/2025 17:34:00,p29,3,0,0,0.95,7,13,55,16,4,16
07/15/2025 17:34:00,p30,3,0,0,0.95,7,15,56,16,4,13
07/15/2025 17:34:00,p31,3,0,0,0.95,7,13,55,17,5,14
07/15/2025 17:34:00,p01,4,0,0,0.95,13,93,5,6,0,0
07/15/2025 17:34:00,p02,4,0,0,0.95,13,17,45,19,7,16
07/15/2025 17:34:01,p03,4,0,0,0.95,13,57,37,9,0,1
07/15/2025 17:34:01,p04,4,0,0,0.95,13,99,2,3,0,0
07/15/2025 17:34:02,p05,4,0,0,0.95,13,101,0,3,0,0
07/15/2025 17:34:02,p06,4,0,0,0.95,13,93,2,8,0,1
07/15/2025 17:34:02,p07,4,0,0,0.95,13,95,6,3,0,0
07/15/2025 17:34:03,p08,4,0,0,0.95,13,63,30,10,0,1
07/15/2025 17:34:03,p09,4,0,0,0.95,13,18,42,26,5,13
07/15/2025 17:34:03,p10,4,0,0,0.95,13,61,32,8,0,3
07/15/2025 17:34:04,p11,4,0,0,0.95,13,95,1,8,0,0
07/15/2025 17:34:04,p12,4,0,0,0.95,13,71,23,8,0,2
07/15/2025 17:34:04,p13,4,0,0,0.95,13,70,28,4,0,2
07/15/2025 17:34:04,p14,4,0,0,0.95,13,62,30,9,0,3
07/15/2025 17:34:05,p15,4,0,0,0.95,13,71,22,9,0,2
07/15/2025 17:34:05,p16,4,0,0,0.95,13,21,40,19,10,14
07/15/2025 17:34:05,p17,4,0,0,0.95,13,59,32,10,0,3
07/15/2025 17:34:06,p18,4,0,0,0.95,13,92,0,12,0,0
07/15/2025 17:34:06,p19,4,0,0,0.95,13,18,40,26,14,6
07/15/2025 17:34:06,p20,4,0,0,0.95,13,93,9,2,0,0
07/15/2025 17:34:06,p21,4,0,0,0.95,13,94,2,8,0,0
07/15/2025 17:34:07,p22,4,0,0,0.95,13,23,35,30,8,8
07/15/2025 17:34:07,p23,4,0,0,0.95,13,67,26,9,0,2
07/15/2025 17:34:07,p24,4,0,0,0.95,13,20,46,21,8,9
07/15/2025 17:34:07,p25,4,0,0,0.95,13,97,3,4,0,0
07/15/2025 17:34:07,p26,4,0,0,0.95,13,20,43,25,4,12
07/15/2025 17:34:08,p27,4,0,0,0.95,13,95,4,5,0,0
07/15/2025 17:34:08,p28,4,0,0,0.95,13,91,8,5,0,0
07/15/2025 17:34:09,p29,4,0,0,0.95,13,103,1,0,0,0
07/15/2025 17:34:09,p30,4,0,0,0.95,13,94,8,0,0,2
07/15/2025 17:34:10,p31,4,0,0,0.95,13,100,1,2,0,1
07/15/2025 17:34:10,p01,5,0,0,0.95,19,94,5,5,0,0
07/15/2025 17:34:11,p02,5,0,0,0.95,19,93,0,11,0,0
07/15/2025 17:34:11,p03,5,0,0,0.95,19,59,37,7,0,1
07/15/2025 17:34:11,p04,5,0,0,0.95,19,100,2,2,0,0
07/15/2025 17:34:12,p05,5,0,0,0.95,19,102,0,2,0,0
07/15/2025 17:34:12,p06,5,0,0,0.95,19,92,3,8,0,1
07/15/2025 17:34:12,p07,5,0,0,0.95,19,74,19,8,0,3
07/15/2025 17:34:13,p08,5,0,0,0.95,19,63,32,8,0,1
07/15/2025 17:34:13,p09,5,0,0,0.95,19,77,14,11,1,1
07/15/2025 17:34:13,p10,5,0,0,0.95,19,62,31,8,0,3
07/15/2025 17:34:14,p11,5,0,0,0.95,19,97,0,7,0,0
07/15/2025 17:34:14,p12,5,0,0,0.95,19,63,30,8,0,3
07/15/2025 17:34:14,p13,5,0,0,0.95,19,21,55,14,6,8
07/15/2025 17:34:14,p14,5,0,0,0.95,19,63,29,9,0,3
07/15/2025 17:34:14,p15,5,0,0,0.95,19,71,23,8,0,2
07/15/2025 17:34:15,p16,5,0,0,0.95,19,104,0,0,0,0
07/15/2025 17:34:15,p17,5,0,0,0.95,19,60,30,11,0,3
07/15/2025 17:34:16,p18,5,0,0,0.95,19,93,0,11,0,0
07/15/2025 17:34:16,p19,5,0,0,0.95,19,96,1,7,0,0
07/15/2025 17:34:16,p20,5,0,0,0.95,19,62,30,8,0,4
07/15/2025 17:34:17,p21,5,0,0,0.95,19,94,3,7,0,0
07/15/2025 17:34:17,p22,5,0,0,0.95,19,26,35,28,8,7
