datetime,participant_id,stratified_sampling_resolution,min_iterations,cleanser_frequency,model_certainty_cutoff,initial_stratified_samples,total_iterations,true_positives,true_negatives,false_positives,false_negatives
07/15/2025 11:18:54,p01,1,0,0,0.05,2,2,46,28,21,7
07/15/2025 11:18:54,p02,1,0,0,0.05,2,2,50,24,9,19
07/15/2025 11:18:54,p03,1,0,0,0.05,2,2,25,21,50,6
07/15/2025 11:18:54,p04,1,0,0,0.05,2,2,54,26,11,11
07/15/2025 11:18:54,p05,1,0,0,0.05,2,2,37,27,18,20
07/15/2025 11:18:54,p06,1,0,0,0.05,2,2,62,15,0,25
07/15/2025 11:18:54,p07,1,0,0,0.05,8,8,63,0,0,33
07/15/2025 11:18:54,p08,1,0,0,0.05,4,4,63,23,8,6
07/15/2025 11:18:54,p09,1,0,0,0.05,7,7,37,42,14,4
07/15/2025 11:18:54,p10,1,0,0,0.05,3,3,2,26,70,3
07/15/2025 11:18:54,p11,1,0,0,0.05,2,2,49,27,15,11
07/15/2025 11:18:54,p12,1,0,0,0.05,4,4,51,27,18,4
07/15/2025 11:18:54,p13,1,0,0,0.05,11,11,63,16,1,13
07/15/2025 11:18:54,p14,1,0,0,0.05,3,3,49,7,21,24
07/15/2025 11:18:54,p15,1,0,0,0.05,2,2,28,17,42,15
07/15/2025 11:18:54,p16,1,0,0,0.05,2,2,45,23,14,20
07/15/2025 11:18:54,p17,1,0,0,0.05,6,6,42,29,24,3
07/15/2025 11:18:55,p18,1,0,0,0.05,4,4,51,1,4,44
07/15/2025 11:18:55,p19,1,0,0,0.05,4,4,40,32,20,8
07/15/2025 11:18:55,p20,1,0,0,0.05,3,3,32,16,38,15
07/15/2025 11:18:55,p21,1,0,0,0.05,3,3,50,20,16,15
07/15/2025 11:18:55,p22,1,0,0,0.05,7,7,18,41,36,2
07/15/2025 11:18:55,p23,1,0,0,0.05,7,7,42,17,24,14
07/15/2025 11:18:55,p24,1,0,0,0.05,3,3,36,31,28,6
07/15/2025 11:18:55,p25,1,0,0,0.05,2,2,50,30,12,10
07/15/2025 11:18:55,p26,1,0,0,0.05,2,2,20,43,37,2
07/15/2025 11:18:55,p27,1,0,0,0.05,9,9,59,17,1,18
07/15/2025 11:18:55,p28,1,0,0,0.05,2,2,36,33,33,0
07/15/2025 11:18:55,p29,1,0,0,0.05,2,2,45,22,20,15
07/15/2025 11:18:55,p30,1,0,0,0.05,4,4,63,17,3,17
07/15/2025 11:18:55,p31,1,0,0,0.05,2,2,55,1,11,35
07/15/2025 11:18:55,p01,1,0,0,0.1,3,3,29,27,38,7
07/15/2025 11:18:55,p02,1,0,0,0.1,2,2,52,23,7,20
07/15/2025 11:18:55,p03,1,0,0,0.1,3,3,47,7,27,20
07/15/2025 11:18:55,p04,1,0,0,0.1,3,3,29,7,36,29
07/15/2025 11:18:55,p05,1,0,0,0.1,2,2,37,34,18,13
07/15/2025 11:18:55,p06,1,0,0,0.1,2,2,41,16,21,24
07/15/2025 11:18:55,p07,1,0,0,0.1,6,6,63,17,2,16
07/15/2025 11:18:55,p08,1,0,0,0.1,2,2,69,17,4,12
07/15/2025 11:18:55,p09,1,0,0,0.1,2,2,55,15,1,31
07/15/2025 11:18:55,p10,1,0,0,0.1,2,2,58,24,14,6
